invoice-number;branch;city;type-user;gender;category;cost of goods sold;sale;date;time;payment;review
829-49-1914;C;Houston;Member;Female;Food and beverages;$ 7.831;$ 822.255;3/5/2019;16:24;Ewallet;6.6
756-01-7507;C;Houston;Normal;Female;Health and beauty;$ 1.019;$ 106.995;1/22/2019;18:56;Cash;6
870-72-4431;C;Houston;Normal;Female;Health and beauty;$ 59.514;$ 624.897;1/21/2019;14:42;Credit card;5.5
847-38-7188;B;Chicago;Normal;Female;Food and beverages;$ 29.004;$ 304.542;1/26/2019;19:56;Ewallet;6.4
480-63-2856;C;Houston;Normal;Male;Food and beverages;$ 154;$ 1.617;1/23/2019;18:37;Ewallet;6.6
787-56-0757;C;Houston;Member;Female;Food and beverages;$ 32.144;$ 337.512;2/23/2019;18:45;Credit card;8.3
360-39-5055;C;Houston;Member;Male;Sports and travel;$ 24.455;$ 2.567.775;3/9/2019;10:17;Cash;6.6
730-50-9884;C;Houston;Normal;Female;Sports and travel;$ 58.142;$ 610.491;3/5/2019;14:31;Ewallet;4
362-58-8315;C;Houston;Normal;Male;Fashion accessories;$ 3.826;$ 40.173;3/25/2019;10:23;Cash;9.9
633-44-8566;A;Nueva York;Member;Male;Food and beverages;$ 34.566;$ 362.943;3/27/2019;20:35;Credit card;7.3
504-35-8843;A;Nueva York;Normal;Male;Sports and travel;$ 4.247;$ 445.935;1/2/2019;16:57;Cash;5.7
318-68-5053;B;Chicago;Normal;Female;Health and beauty;$ 46.194;$ 485.037;2/27/2019;17:55;Cash;6.1
565-80-5980;C;Houston;Member;Female;Home and lifestyle;$ 18.952;$ 198.996;1/23/2019;10:25;Cash;7.1
225-32-0908;C;Houston;Normal;Female;Sports and travel;$ 4.486;$ 47.103;1/26/2019;19:54;Ewallet;8.2
873-51-0671;A;Nueva York;Member;Female;Sports and travel;$ 15.386;$ 161.553;1/10/2019;16:42;Ewallet;5.1
152-08-9985;B;Chicago;Member;Male;Health and beauty;$ 57.924;$ 608.202;3/12/2019;12:09;Credit card;8.6
512-91-0811;C;Houston;Normal;Male;Health and beauty;$ 8.975;$ 942.375;2/6/2019;20:05;Credit card;6.6
594-34-4444;A;Nueva York;Normal;Male;Electronic accessories;$ 9.716;$ 102.018;3/8/2019;20:38;Ewallet;7.2
766-85-7061;B;Chicago;Normal;Male;Health and beauty;$ 8.787;$ 922.635;3/29/2019;10:25;Ewallet;5.1
871-39-9221;C;Houston;Normal;Female;Electronic accessories;$ 747;$ 78.435;2/9/2019;13:11;Cash;4.1
865-92-6136;A;Nueva York;Normal;Male;Food and beverages;$ 15.825;$ 1.661.625;3/23/2019;10:16;Ewallet;9.3
733-01-9107;B;Chicago;Normal;Male;Home and lifestyle;$ 4.962;$ 52.101;3/5/2019;18:14;Cash;7.4
163-56-7055;C;Houston;Member;Male;Fashion accessories;$ 4.871;$ 511.455;3/26/2019;19:20;Cash;4.1
189-98-2939;C;Houston;Normal;Male;Fashion accessories;$ 70.695;$ 7.422.975;3/1/2019;13:22;Cash;7.2
551-21-3069;C;Houston;Normal;Female;Electronic accessories;$ 20.763;$ 2.180.115;2/1/2019;11:27;Cash;4.9
212-62-1842;A;Nueva York;Normal;Male;Food and beverages;$ 34.956;$ 367.038;3/28/2019;16:44;Cash;9.9
716-39-1409;B;Chicago;Normal;Male;Health and beauty;$ 21.245;$ 2.230.725;3/19/2019;18:19;Cash;8
704-48-3927;A;Nueva York;Member;Male;Electronic accessories;$ 8.867;$ 931.035;1/12/2019;14:50;Ewallet;7.3
628-34-3388;C;Houston;Normal;Male;Fashion accessories;$ 16.428;$ 172.494;1/5/2019;20:54;Credit card;7.9
630-74-5166;A;Nueva York;Normal;Male;Sports and travel;$ 37.278;$ 391.419;3/22/2019;20:19;Cash;7.4
588-01-7461;C;Houston;Normal;Female;Food and beverages;$ 30.582;$ 321.111;3/24/2019;10:43;Cash;4.2
861-77-0145;C;Houston;Member;Male;Electronic accessories;$ 8.197;$ 860.685;3/3/2019;14:30;Cash;9.2
479-26-8945;B;Chicago;Member;Female;Sports and travel;$ 3.298;$ 34.629;2/5/2019;11:32;Ewallet;4.6
210-67-5886;C;Houston;Member;Female;Health and beauty;$ 29.463;$ 3.093.615;2/5/2019;10:41;Credit card;7.8
227-78-1148;B;Chicago;Normal;Female;Fashion accessories;$ 50.988;$ 535.374;2/15/2019;12:44;Cash;8.4
645-44-1170;A;Nueva York;Member;Male;Home and lifestyle;$ 52.263;$ 5.487.615;1/19/2019;20:07;Ewallet;4.3
237-01-6122;C;Houston;Member;Female;Home and lifestyle;$ 72.711;$ 7.634.655;2/1/2019;20:31;Credit card;9.5
225-98-1496;C;Houston;Normal;Female;Fashion accessories;$ 8.106;$ 85.113;3/2/2019;13:01;Credit card;7.1
291-32-1427;B;Chicago;Member;Male;Fashion accessories;$ 1.097;$ 115.185;3/5/2019;12:29;Ewallet;5.3
659-65-8956;B;Chicago;Member;Male;Fashion accessories;$ 5.136;$ 53.928;1/16/2019;15:26;Ewallet;5.2
642-32-2990;A;Nueva York;Normal;Female;Food and beverages;$ 1.096;$ 11.508;2/2/2019;20:48;Ewallet;6
378-24-2715;B;Chicago;Normal;Male;Home and lifestyle;$ 10.688;$ 112.224;1/20/2019;20:38;Ewallet;4.1
638-60-7125;A;Nueva York;Normal;Female;Electronic accessories;$ 79.648;$ 836.304;2/14/2019;17:03;Credit card;5.2
659-36-1684;C;Houston;Member;Male;Sports and travel;$ 39.984;$ 419.832;1/12/2019;12:02;Credit card;6.5
219-22-9386;B;Chicago;Member;Male;Sports and travel;$ 89.964;$ 944.622;3/9/2019;17:26;Credit card;4.2
336-78-2147;C;Houston;Member;Male;Home and lifestyle;$ 51.128;$ 536.844;3/13/2019;19:52;Credit card;4.6
268-27-6179;B;Chicago;Member;Female;Fashion accessories;$ 45.176;$ 474.348;3/9/2019;14:57;Ewallet;7.3
668-90-8900;A;Nueva York;Normal;Female;Home and lifestyle;$ 65.583;$ 6.886.215;3/10/2019;18:44;Credit card;4.5
870-54-3162;A;Nueva York;Normal;Female;Sports and travel;$ 16.125;$ 1.693.125;1/27/2019;13:26;Cash;9
189-08-9157;C;Houston;Normal;Female;Fashion accessories;$ 28.557;$ 2.998.485;1/8/2019;16:17;Credit card;5.9
663-86-9076;C;Houston;Member;Female;Food and beverages;$ 54.832;$ 575.736;1/8/2019;15:57;Ewallet;8.5
549-84-7482;B;Chicago;Normal;Female;Sports and travel;$ 81.252;$ 853.146;2/8/2019;11:15;Ewallet;7.2
191-10-6171;B;Chicago;Normal;Female;Fashion accessories;$ 27.734;$ 291.207;1/25/2019;13:18;Cash;7.5
802-70-5316;A;Nueva York;Member;Female;Sports and travel;$ 55.278;$ 580.419;3/6/2019;20:34;Cash;8.3
695-51-0018;B;Chicago;Normal;Female;Sports and travel;$ 13.936;$ 146.328;2/10/2019;18:36;Cash;7.4
590-83-4591;B;Chicago;Member;Male;Electronic accessories;$ 5.247;$ 550.935;2/17/2019;14:40;Credit card;8.8
483-71-1164;C;Houston;Normal;Female;Health and beauty;$ 4.878;$ 51.219;3/8/2019;16:43;Ewallet;5.3
597-78-7908;C;Houston;Normal;Male;Fashion accessories;$ 27.066;$ 284.193;2/18/2019;19:39;Cash;6.2
700-81-1757;A;Nueva York;Normal;Female;Electronic accessories;$ 13.155;$ 1.381.275;1/18/2019;20:59;Credit card;8.8
354-39-5160;A;Nueva York;Member;Female;Home and lifestyle;$ 20.652;$ 216.846;2/18/2019;15:39;Cash;9.8
241-72-9525;B;Chicago;Normal;Male;Sports and travel;$ 5.191;$ 545.055;2/16/2019;12:21;Cash;8.2
575-30-8091;A;Nueva York;Normal;Male;Sports and travel;$ 580;$ 609;3/16/2019;19:25;Ewallet;9.2
731-81-9469;C;Houston;Member;Female;Sports and travel;$ 898;$ 9.429;1/23/2019;13:00;Credit card;5.4
280-17-4359;C;Houston;Member;Male;Health and beauty;$ 905;$ 95.025;1/25/2019;13:48;Cash;8.1
338-65-2210;C;Houston;Member;Female;Health and beauty;$ 686;$ 7.203;2/5/2019;19:57;Cash;9.1
488-25-4221;C;Houston;Member;Female;Food and beverages;$ 3.041;$ 319.305;2/22/2019;10:36;Credit card;8.4
239-10-7476;A;Nueva York;Normal;Female;Home and lifestyle;$ 4.677;$ 491.085;1/21/2019;16:37;Ewallet;8
458-41-1477;C;Houston;Normal;Female;Health and beauty;$ 27.756;$ 291.438;3/8/2019;17:11;Credit card;9.5
685-64-1609;A;Nueva York;Member;Female;Fashion accessories;$ 3.014;$ 31.647;2/10/2019;12:28;Ewallet;9.2
568-90-5112;C;Houston;Normal;Male;Health and beauty;$ 26.456;$ 277.788;3/19/2019;12:46;Credit card;5.6
262-47-2794;B;Chicago;Member;Male;Home and lifestyle;$ 57.488;$ 603.624;3/6/2019;15:07;Credit card;6.2
238-49-0436;A;Nueva York;Normal;Male;Health and beauty;$ 25.968;$ 272.664;3/27/2019;13:48;Credit card;4.9
608-96-3517;B;Chicago;Member;Female;Fashion accessories;$ 36.616;$ 384.468;3/23/2019;19:20;Credit card;4.8
584-86-7256;C;Houston;Member;Male;Sports and travel;$ 24.192;$ 254.016;3/11/2019;16:07;Credit card;7.3
746-94-0204;A;Nueva York;Normal;Male;Fashion accessories;$ 74.916;$ 786.618;1/29/2019;11:56;Credit card;7.4
214-17-6927;C;Houston;Normal;Female;Food and beverages;$ 9.888;$ 103.824;2/7/2019;18:23;Ewallet;9.9
400-89-4171;C;Houston;Normal;Female;Sports and travel;$ 64.776;$ 680.148;1/28/2019;13:05;Cash;9.3
782-95-9291;A;Nueva York;Member;Male;Food and beverages;$ 46.145;$ 4.845.225;2/20/2019;15:55;Credit card;9
279-74-2924;B;Chicago;Member;Male;Electronic accessories;$ 7.217;$ 757.785;1/4/2019;19:40;Cash;6.1
307-85-2293;B;Chicago;Normal;Male;Home and lifestyle;$ 2.514;$ 26.397;3/7/2019;13:58;Ewallet;9.7
743-04-1105;B;Chicago;Member;Male;Health and beauty;$ 87.498;$ 918.729;3/30/2019;14:43;Ewallet;6
423-57-2993;B;Chicago;Normal;Male;Sports and travel;$ 56.034;$ 588.357;3/27/2019;19:18;Ewallet;10
894-41-5205;C;Houston;Normal;Female;Food and beverages;$ 34.544;$ 362.712;1/19/2019;19:39;Credit card;8.3
275-28-0149;A;Nueva York;Normal;Male;Sports and travel;$ 6.369;$ 668.745;2/25/2019;16:21;Cash;6
101-17-6199;A;Nueva York;Normal;Male;Food and beverages;$ 32.053;$ 3.365.565;3/13/2019;19:44;Credit card;7
423-80-0988;C;Houston;Normal;Male;Sports and travel;$ 1.528;$ 16.044;1/30/2019;19:42;Ewallet;6.5
548-46-9322;B;Chicago;Normal;Male;Food and beverages;$ 399;$ 41.895;2/20/2019;15:24;Credit card;5.9
505-02-0892;B;Chicago;Member;Male;Health and beauty;$ 34.056;$ 357.588;2/25/2019;14:12;Ewallet;5.6
234-65-2137;C;Houston;Normal;Male;Home and lifestyle;$ 9.558;$ 100.359;1/16/2019;13:32;Cash;4.8
687-47-8271;A;Nueva York;Normal;Male;Fashion accessories;$ 9.898;$ 103.929;2/8/2019;16:20;Credit card;8.7
796-32-9050;A;Nueva York;Normal;Male;Food and beverages;$ 30.768;$ 323.064;1/19/2019;16:31;Cash;6.5
105-31-1824;A;Nueva York;Member;Male;Sports and travel;$ 48.664;$ 510.972;2/1/2019;15:10;Credit card;8.5
249-42-3782;A;Nueva York;Normal;Male;Health and beauty;$ 35.005;$ 3.675.525;1/3/2019;11:36;Ewallet;5.5
316-55-4634;B;Chicago;Member;Male;Food and beverages;$ 40.025;$ 4.202.625;1/26/2019;12:45;Credit card;9.4
733-33-4967;C;Houston;Normal;Male;Electronic accessories;$ 1.668;$ 17.514;3/3/2019;19:17;Cash;6.3
608-27-6295;B;Chicago;Member;Male;Electronic accessories;$ 31.734;$ 333.207;1/19/2019;17:34;Credit card;9.8
414-12-7047;B;Chicago;Normal;Male;Food and beverages;$ 15.832;$ 166.236;1/18/2019;12:04;Ewallet;8.7
827-26-2100;A;Nueva York;Member;Male;Home and lifestyle;$ 30.456;$ 319.788;3/21/2019;16:21;Ewallet;8.8
175-54-2529;A;Nueva York;Member;Male;Food and beverages;$ 17.736;$ 186.228;3/3/2019;17:01;Credit card;9.6
139-52-2867;C;Houston;Normal;Female;Fashion accessories;$ 15.757;$ 1.654.485;2/13/2019;10:50;Credit card;4.8
407-63-8975;A;Nueva York;Normal;Male;Food and beverages;$ 44.328;$ 465.444;3/23/2019;19:16;Ewallet;4.4
342-65-4817;C;Houston;Member;Male;Health and beauty;$ 2.604;$ 27.342;1/28/2019;16:47;Ewallet;9.9
130-98-8941;C;Houston;Normal;Male;Fashion accessories;$ 44.982;$ 472.311;2/9/2019;10:00;Cash;5.7
434-83-9547;C;Houston;Member;Male;Food and beverages;$ 30.776;$ 323.148;1/23/2019;11:51;Cash;7.7
851-28-6367;A;Nueva York;Member;Male;Sports and travel;$ 155;$ 16.275;3/23/2019;10:55;Ewallet;8
824-88-3614;C;Houston;Normal;Male;Health and beauty;$ 27.448;$ 288.204;1/25/2019;15:00;Ewallet;5.7
586-25-0848;A;Nueva York;Normal;Female;Sports and travel;$ 8.638;$ 90.699;3/4/2019;11:19;Credit card;6.7
895-66-0685;B;Chicago;Member;Male;Food and beverages;$ 5.424;$ 56.952;3/5/2019;19:46;Ewallet;8
305-14-0245;B;Chicago;Member;Female;Home and lifestyle;$ 75.592;$ 793.716;3/3/2019;19:00;Ewallet;7.5
732-04-5373;B;Chicago;Member;Male;Home and lifestyle;$ 18.588;$ 195.174;2/8/2019;10:53;Cash;7
400-60-7251;A;Nueva York;Normal;Male;Home and lifestyle;$ 7.407;$ 777.735;2/10/2019;12:50;Ewallet;9.9
593-65-1552;C;Houston;Normal;Female;Home and lifestyle;$ 27.924;$ 293.202;1/28/2019;20:50;Credit card;5.9
284-34-9626;B;Chicago;Normal;Female;Home and lifestyle;$ 23.112;$ 242.676;2/11/2019;10:39;Credit card;7.2
437-58-8131;B;Chicago;Normal;Female;Fashion accessories;$ 14.704;$ 154.392;1/15/2019;13:41;Ewallet;4.6
286-43-6208;C;Houston;Normal;Female;Food and beverages;$ 7.902;$ 82.971;3/16/2019;19:08;Cash;9.2
641-43-2399;B;Chicago;Normal;Male;Home and lifestyle;$ 1.022;$ 10.731;1/26/2019;20:23;Ewallet;5.7
831-07-6050;A;Nueva York;Normal;Male;Electronic accessories;$ 16.355;$ 1.717.275;3/19/2019;11:30;Credit card;9.9
556-86-3144;C;Houston;Member;Female;Fashion accessories;$ 7.429;$ 780.045;1/13/2019;19:30;Cash;5
848-24-9445;C;Houston;Member;Male;Health and beauty;$ 874;$ 9.177;3/26/2019;18:03;Cash;4.9
856-22-8149;A;Nueva York;Normal;Female;Home and lifestyle;$ 2.529;$ 265.545;3/23/2019;10:13;Ewallet;6.1
699-01-4164;C;Houston;Normal;Male;Health and beauty;$ 166;$ 1.743;3/12/2019;19:58;Credit card;8.2
420-11-4919;C;Houston;Member;Female;Food and beverages;$ 35.695;$ 3.747.975;2/17/2019;19:57;Credit card;5.5
606-80-4905;C;Houston;Member;Female;Sports and travel;$ 1.149;$ 120.645;1/29/2019;10:01;Credit card;6.8
542-41-0513;B;Chicago;Member;Female;Electronic accessories;$ 22.996;$ 241.458;3/15/2019;11:57;Cash;6.6
426-39-2418;C;Houston;Normal;Male;Electronic accessories;$ 42.987;$ 4.513.635;1/14/2019;10:02;Cash;9.8
875-46-5808;B;Chicago;Member;Male;Health and beauty;$ 259;$ 27.195;2/6/2019;14:51;Ewallet;8.7
394-43-4238;B;Chicago;Member;Male;Home and lifestyle;$ 8.885;$ 932.925;2/15/2019;12:42;Credit card;5.4
749-24-1565;A;Nueva York;Normal;Female;Health and beauty;$ 20.727;$ 2.176.335;1/3/2019;12:02;Ewallet;7.9
672-51-8681;C;Houston;Member;Female;Electronic accessories;$ 59.985;$ 6.298.425;1/4/2019;18:19;Credit card;9.7
263-87-5680;C;Houston;Member;Female;Home and lifestyle;$ 2.853;$ 299.565;3/18/2019;17:38;Ewallet;7.8
573-58-9734;B;Chicago;Normal;Female;Fashion accessories;$ 9.111;$ 956.655;3/28/2019;13:41;Ewallet;5.1
817-69-8206;B;Chicago;Normal;Female;Electronic accessories;$ 89.757;$ 9.424.485;3/2/2019;19:42;Credit card;6.5
888-02-0338;A;Nueva York;Normal;Male;Electronic accessories;$ 23.607;$ 2.478.735;1/25/2019;20:24;Ewallet;5.9
677-11-0152;C;Houston;Normal;Female;Food and beverages;$ 83.934;$ 881.307;1/16/2019;18:08;Cash;8.8
142-63-6033;B;Chicago;Normal;Male;Home and lifestyle;$ 4.618;$ 48.489;3/20/2019;19:17;Ewallet;4.9
656-16-1063;B;Chicago;Normal;Male;Sports and travel;$ 13.926;$ 146.223;1/4/2019;13:24;Credit card;4.4
891-58-8335;B;Chicago;Member;Female;Sports and travel;$ 20.727;$ 2.176.335;3/11/2019;15:53;Cash;6.5
802-43-8934;A;Nueva York;Normal;Male;Home and lifestyle;$ 1.828;$ 19.194;3/22/2019;15:05;Credit card;8.3
560-30-5617;B;Chicago;Normal;Female;Sports and travel;$ 12.385;$ 1.300.425;3/24/2019;18:27;Cash;8.5
319-74-2561;A;Nueva York;Member;Female;Electronic accessories;$ 28.392;$ 298.116;2/21/2019;16:55;Cash;5.5
549-03-9315;B;Chicago;Normal;Male;Fashion accessories;$ 75.896;$ 796.908;2/12/2019;12:58;Ewallet;8.7
790-29-1172;B;Chicago;Normal;Female;Food and beverages;$ 17.202;$ 180.621;3/10/2019;18:59;Credit card;7.9
239-36-3640;B;Chicago;Normal;Male;Electronic accessories;$ 2.721;$ 285.705;1/31/2019;13:44;Ewallet;6.1
468-01-2051;B;Chicago;Normal;Male;Food and beverages;$ 43.456;$ 456.288;3/6/2019;13:46;Ewallet;5.4
389-25-3394;C;Houston;Normal;Male;Electronic accessories;$ 5.905;$ 620.025;2/17/2019;18:06;Cash;9.4
